Species,Diet,Habitat,OR1.3.7.CODING,OR1.3.7.PSEUDOGENE,OR1.3.7.TOTAL,OR10.CODING,OR10.PSEUDOGENE,OR10.TOTAL,OR11.CODING,OR11.PSEUDOGENE,OR11.TOTAL,OR12.CODING,OR12.PSEUDOGENE,OR12.TOTAL,OR14.CODING,OR14.PSEUDOGENE,OR14.TOTAL,OR2.13.CODING,OR2.13.PSEUDOGENE,OR2.13.TOTAL,OR4.CODING,OR4.PSEUDOGENE,OR4.TOTAL,OR5.8.9.CODING,OR5.8.9.PSEUDOGENE,OR5.8.9.TOTAL,OR51.CODING,OR51.PSEUDOGENE,OR51.TOTAL,OR52.CODING,OR52.PSEUDOGENE,OR52.TOTAL,OR55.CODING,OR55.PSEUDOGENE,OR55.TOTAL,OR56.CODING,OR56.PSEUDOGENE,OR56.TOTAL,OR6.CODING,OR6.PSEUDOGENE,OR6.TOTAL
Actinemys_marmorata,Omnivore,Freshwater,3,3,6,213,142,355,3,19,22,14,2,16,92,144,236,37,39,76,24,36,60,163,101,264,106,16,122,305,49,354,1,0,1,0,0,0,171,78,249
Aldabrachelys_gigantea,Herbivore,Freshwater,2,5,7,450,320,770,18,23,41,40,20,60,249,304,553,85,89,174,108,111,219,308,166,474,161,90,251,217,113,330,0,0,0,0,0,0,364,228,592
Alligator_sinensis,Carnivore,Freshwater,4,3,7,132,96,228,9,7,16,5,9,14,75,82,157,119,106,225,29,64,93,142,52,194,16,9,25,42,13,55,1,0,1,0,0,0,131,66,197
Apalone_spinifera,Carnivore,Freshwater,9,3,12,223,54,277,5,7,12,16,3,19,64,36,100,13,12,25,9,6,15,193,47,240,109,37,146,423,106,529,1,0,1,0,0,0,65,16,81
Caretta_caretta,Carnivore,Marine,1,3,4,63,52,115,2,7,9,6,4,10,13,18,31,10,25,35,2,13,15,55,51,106,66,20,86,154,52,206,1,0,1,0,0,0,32,46,78
Carettochelys_insculpta,Omnivore,Freshwater,0,0,0,386,68,454,2,5,7,11,0,11,3,1,4,5,8,13,11,3,14,69,17,86,156,24,180,354,71,425,1,0,1,0,0,0,79,11,90
Chelonia_mydas,Herbivore,Marine,1,4,5,83,77,160,1,11,12,7,6,13,22,23,45,13,29,42,6,12,18,58,65,123,84,15,99,274,48,322,1,0,1,0,0,0,43,53,96
Chelonoidis_abingdonii,Herbivore,Terrestrial,2,3,5,113,97,210,2,13,15,9,2,11,28,55,83,21,47,68,16,26,42,80,76,156,48,36,84,135,81,216,0,0,0,0,0,0,76,58,134
Chelonoidis_denticulatus,Herbivore,Terrestrial,1,5,6,147,134,281,5,7,12,13,6,19,64,100,164,35,30,65,28,36,64,101,94,195,60,45,105,116,105,221,0,0,0,0,0,0,110,87,197
Chelydra_serpentina,Omnivore,Freshwater,2,3,5,193,59,252,6,8,14,10,2,12,116,41,157,35,11,46,30,23,53,125,46,171,98,12,110,396,31,427,1,0,1,0,0,0,121,22,143
Chrysemys_picta,Omnivore,Freshwater,7,9,16,230,140,370,4,18,22,15,8,23,141,133,274,36,54,90,36,44,80,269,125,394,130,40,170,409,50,459,0,0,0,0,0,0,143,83,226
Clemmys_guttata,Omnivore,Freshwater,3,7,10,214,122,336,5,17,22,13,6,19,119,108,227,35,44,79,28,37,65,146,80,226,135,21,156,376,49,425,1,0,1,0,0,0,143,74,217
Cuora_amboinensis,Omnivore,Freshwater,2,2,4,171,93,264,1,8,9,12,3,15,79,88,167,31,26,57,29,61,90,105,104,209,87,25,112,262,81,343,1,0,1,0,0,0,123,70,193
Cuora_mccordi,Omnivore,Freshwater,3,2,5,179,124,303,4,7,11,9,9,18,66,115,181,38,53,91,37,68,105,136,135,271,84,37,121,275,87,362,1,0,1,0,0,0,128,75,203
Deirochelys_reticularia,Omnivore,Freshwater,5,9,14,189,115,304,6,12,18,10,9,19,109,84,193,36,32,68,25,37,62,136,73,209,101,16,117,297,39,336,1,0,1,0,0,0,121,64,185
Dermatemys_mawii,Herbivore,Freshwater,1,1,2,161,42,203,4,5,9,13,6,19,59,24,83,19,11,30,10,15,25,106,40,146,108,24,132,471,105,576,1,0,1,0,0,0,83,18,101
Dermochelys_coriacea,Carnivore,Marine,1,4,5,43,54,97,0,13,13,2,5,7,6,19,25,6,23,29,2,16,18,33,63,96,28,29,57,106,86,192,0,1,1,0,0,0,22,41,63
Emydoidea_blandingii,Omnivore,Freshwater,3,6,9,224,116,340,4,15,19,13,7,20,92,82,174,37,44,81,23,34,57,146,85,231,126,19,145,354,38,392,1,0,1,0,0,0,154,82,236
Emydura_macquarii,Omnivore,Freshwater,2,0,2,285,264,549,25,13,38,8,2,10,135,134,269,50,48,98,24,49,73,113,111,224,161,116,277,305,96,401,1,0,1,0,0,0,146,73,219
Emydura_subglobosa,Omnivore,Freshwater,2,6,8,341,366,707,32,33,65,11,2,13,173,192,365,34,55,89,27,58,85,113,138,251,147,111,258,277,99,376,1,0,1,0,0,0,132,95,227
Emys_orbicularis,Omnivore,Freshwater,3,9,12,232,133,365,4,18,22,12,10,22,80,98,178,32,35,67,22,38,60,160,100,260,116,20,136,314,38,352,1,0,1,0,0,0,150,104,254
Eretmochelys_imbricata,Carnivore,Marine,2,3,5,97,99,196,2,12,14,6,5,11,72,91,163,12,28,40,4,16,20,157,120,277,91,23,114,227,71,298,1,0,1,0,0,0,75,142,217
Glyptemys_insculpta,Omnivore,Freshwater,3,15,18,280,177,457,5,20,25,16,8,24,213,242,455,62,54,116,34,77,111,241,147,388,104,27,131,370,60,430,1,0,1,0,0,0,242,110,352
Gopherus_agassizii,Herbivore,Terrestrial,1,4,5,182,230,412,8,27,35,19,10,29,82,137,219,31,60,91,31,66,97,133,144,277,40,51,91,132,109,241,1,1,2,0,0,0,141,159,300
Gopherus_evgoodei,Herbivore,Terrestrial,2,2,4,260,230,490,8,24,32,24,15,39,99,147,246,43,54,97,38,71,109,169,132,301,103,81,184,284,134,418,0,1,1,0,0,0,192,157,349
