Organism Name,OR5-CODING,OR13-CODING,bird_gammaOR-CODING,OR10-CODING,OR6-CODING,OR4-CODING,OR14-CODING,OR12-CODING,OR8-CODING,OR2-CODING,OR52-CODING,OR11-CODING,OR1-CODING,OR9-CODING,OR51-CODING,V2R26-CODING,V2R1-CODING,squamate_V2r-CODING,V2R116_proteinAlignment-CODING,OR55-CODING,OR5-PSEUDOGENE,OR10-PSEUDOGENE,OR6-PSEUDOGENE,OR13-PSEUDOGENE,OR14-PSEUDOGENE,OR9-PSEUDOGENE,OR11-PSEUDOGENE,bird_gammaOR-PSEUDOGENE,OR8-PSEUDOGENE,OR4-PSEUDOGENE,OR12-PSEUDOGENE,OR2-PSEUDOGENE,OR52-PSEUDOGENE,OR1-PSEUDOGENE,OR51-PSEUDOGENE,squamate_V2r-PSEUDOGENE,V2R116_proteinAlignment-PSEUDOGENE,V2R26-PSEUDOGENE,V2R1-PSEUDOGENE,TAS1R1-PSEUDOGENE,TAS1R3-PSEUDOGENE,OR7-PSEUDOGENE,OR3-PSEUDOGENE,V1R-PSEUDOGENE,OR55-PSEUDOGENE,TAS1R2-PSEUDOGENE
Actinemys_marmorata_GCA_022086475.1,534,86,38,787,608,103,365,46,14,32,620,7,12,1,198,7,6,7,1,1,302,473,296,105,434,20,73,201,31,94,6,25,120,9,25,3,2,0,0,0,0,0,0,0,0,0
Actinemys_pallida_GCA_023634205.1,531,86,20,716,512,91,351,50,16,19,584,10,12,0,238,5,4,7,1,2,321,472,319,98,336,15,52,218,34,106,7,23,115,13,19,3,2,2,1,0,0,0,0,0,0,0
Aldabrachelys_gigantea_GCA_026122505.1,923,216,76,1668,1276,354,1021,101,47,40,440,54,8,2,309,2,4,2,1,0,535,1056,797,260,968,23,69,530,44,305,58,81,306,18,170,3,2,2,0,1,1,0,0,0,0,0
Apalone_spinifera_GCA_030068395.1,633,32,12,760,196,45,205,41,15,10,776,19,21,0,197,4,4,4,0,4,94,119,66,37,90,7,13,36,23,6,8,4,212,8,60,1,2,2,0,0,0,0,0,0,0,0
Caretta_caretta_GCF_023653815.2,189,20,5,232,110,7,54,19,1,15,311,5,2,0,119,3,2,0,0,3,140,200,146,42,58,0,27,58,27,31,10,33,127,11,49,0,2,0,2,0,0,0,0,0,0,0
Carettochelys_insculpta_GCA_033958435.1,222,9,12,1439,248,32,13,32,14,6,716,10,0,0,304,3,1,0,0,1,31,250,41,21,4,2,15,28,8,7,3,6,148,0,49,0,2,1,0,0,1,0,0,0,0,0
Chelonia_mydas_GCF_015237465.2,182,22,8,290,167,20,90,22,3,17,522,5,2,1,141,3,1,0,0,2,183,275,191,67,86,2,41,49,19,33,15,37,116,14,28,0,2,0,3,0,0,3,0,0,0,0
Chelonoidis_abingdonii_GCF_003597395.1,275,49,22,413,240,67,130,22,11,23,298,8,10,0,85,3,2,0,0,0,215,317,208,81,194,8,41,141,19,65,4,57,208,11,93,0,2,0,3,1,0,0,0,0,0,0
Chelonoidis_denticulatus_GCA_046118415.1,271,73,16,477,314,93,218,38,18,32,224,15,7,0,107,21,2,14,0,0,261,376,229,54,252,8,12,160,18,83,11,26,187,14,91,45,7,19,1,0,0,0,0,0,0,0
Chelydra_serpentina_GCA_037349315.1,410,98,20,697,400,109,447,29,9,22,811,22,4,0,164,6,5,8,0,2,107,184,79,29,117,17,20,56,13,48,8,5,72,6,31,2,2,1,0,0,0,0,0,0,0,0
